target;sen
Negative;@sosyopat58 : seni alakadar etmiyor bu allahsýz adanalý . . sen devam et bekleme yapma .
Negative;@babayorgunha1 : bu kadar soysuza bir soylu yeter allahsýz kitapsýzlar .
Neutral;@slayer_zizu : ulan allahsýz þerefsizler bunu nasýl yaparsýnýz ya allah belanýzý versin .
Negative;@kenanyzb : bunlar allahsýz kitapsýz ... allahýn laneti bunlarýn ve meclisteki kravatlý köpeklerinin üzerine olsun .
Neutral;@idemimen16 : siz niye özür diliyorsunuz allahsýzlar düþünsün .
Negative;@tcysrdönmez71 : arkadaþlar intiharlar artacak demiþtim yazýk olacak bize ulan allahsýz kitapsýzlar görmüyor musunuz bu kadar aç insanýn direniþini size çok þey yazarýmda idam etmezsiniz diye korkarým .
Negative;@karaa0607 : allah belinizi versin . kalpsiz , allahsýz mahlukatlar . çocuk öldü çocuk hala siyaset peþindesin .
Negative;@flankeþflankes9 : sana yazýk barýþ sana yazýk allahsýz soysuz vatansýzlar size .
Neutral;@serdartuncay : böyle kansýz köpek dolu etraf ... lan biz küs su içerken yolumuzu deðiþtiriyoruz korkmasýn diye . . nasýl böyle allahsýz olabiliyorsunuz .
Negative;@bro__dean1 : o bakanlar da bakam tanýdýðý olanlar siyonist uþaðý allahsýz iþbirlikçiler .
Neutral;@muratsengün : senin gibi allahsýz kitapsýz dinsiz imansýz insanlar için eþcinsellik gayet doðal deðil mi .
Negative;@06mehmetamca : ulan allahsýz kitapsýz vatansýzlar . bu devlet iki aydýr binlerce vatandaþýný getirdi .
Negative;@10fyk : þu diyaneti kapatma vaadi veren allahsýz kitapsýz bir parti yok mu en çalýþkan üyeleri olmak için hazýrým .
Neutral;@vedatmuti7 : kaybolan allahsýz .
Negative;@fatihöztürk1998 : allahsýz kitapsýz dedim . eee öyle deðil misin zaten ?
Negative;@cavit_19 : bildiðin tengrici allahsýz itin biri . bu kadar havlýyor tenhada abi çeker .
Negative;@serdar68731545 : bunu yapan allahsýz kitapsýzdýr .
Negative;@muratsengün : size göre islam dini yok ki zaten . allahsýz .
Negative;"@alýtayfur_ : "" yusuf namoðlu "" küfredince bizi suçlu oluyorum be allahsýz kitapsýz var odasýnda fenerbahçeliler vardý ise biz nasýl var tarafýndan doðranýldýk nasýl haysiyetsiz bir tutumdur bu oruç aðzýmýzla küfrettirmeyin yeter ama !"
Neutral;@þmirnis : hastane ayaðýna havalimanýný da güzel okutmuþlar . . valla hayatýmda böyle iki ayak üzerinde 800 takla atan , dilenen , dolandýrýcý , gerçekten allahsýz bir yönetim görmedim . tez vakitte allah bunlarý ve ayný kafada olanlarýn nefeslerini kesin .
Negative;@þiiiinaann : dinsiz allahsýz ben oruç tutarken sen burada tost diyemezsin .
Negative;@9116aktaþ : allah belaný versin sen kime allahsýz diyorsun .
Neutral;@dündeyarýndý : yalan ve algý ne ? onu yaz allahsýz .
Negative;@hasanalisaliho1 : islamý savunmak dini savunmak saadetçilerin iþi deðil ki ... onlarýn iþi kemalistler le ateistlerle allahsýz kitapsýzlarla bir olup erdoðaný hedef tahtasýna koyup habire vurmak . aþaðýlýk mahluklarla yol yürümek .
Negative;@iþavunucusu : kes lan büþra sen ne anlarsýn allahsýz .
Negative;"@usfur_annesi : senin zihniyetin batsýn be . vurulan kardeþin olsa þöyle diyebilecek miydin "" 80 milyon insan var biri vurulunca mý sorun "" . allahsýz sen !"
Neutral;@g3mermisigibi : ayný þeyleri þehitlerimiz için de söylemek mýsýn allahsýz ?
Negative;@muratyl88100979 : hakikaten allahsýzsýnýz . utanmazsýnýz . zýmpara suratlýsýnýz tükürsem yapýþmaz kayar .
Negative;@resulaltan6 : kýþ boyunca 200 tl gelen doðalgaz 320 lira de allahsýz kitapsýzlar birde din imandan bahsederlerdi bu yoklukta nasýl öderim biri durdursun artýk yoksa sonumuz felaket .
Negative;@bindokuyuz : allahsýz bunlar .
Positive;@ertuðruldeðe : allahsýz kitapsýz derler adama .
Negative;@özcancakir53 : diyanet kadar kafanýza taþ düþsün . allahsýz kitapsýzlar . az kaldý az .
Negative;@bomba1925 : biz kanmadýk . bu ülkenin kurucusuna atam dedik . allahsýz soytarý .
Negative;@knecatlý : neden aleviler konu din olunca allahsýz , alevilik olunca faþist oluyor ? bende allahsýzlardanýmda .
Negative;@arkturus_lu : ulan para için trollük yapýyorsun anladýk , ulan kitapsýz allahsýz inþallah senin de baþýna gelir .
Negative;@recep19578660 : teþvikleri kendinize göre yorumlayýn oh ne ala . . allahýn himayesinde olan birini bilebile dövmek senin allahsýz biri olduðunu gösterir . ey yavrum ey .
Neutral;@mnsrl963 : allahsýz chp .
Negative;@onatokn : lanet sizin gibi polislere sizin gölgenizden bile nefret ediyorum allahsýz kitapsýzlar .
Negative;@prbs007 : allahsýz kitapsýz sana .
Neutral;@vangogholog : allahsýz kadýn böyle de yazmazsýn ya cidden mahvoldum .
Negative;@gucileone : bunu burada sorma ! adliyen polis jandarma yok mu ülkende ? bizim allahsýz kitabsýz bulgarda vsr valla !
Neutral;@theymiyye : karaktersiz insanlarsýnýz , allahsýz kesimi bu ülkeden tek tek söküp atacaðýz , bu ülkenin %99 m üsluman , lutiler barýnamaz , namussuz bir kýsmý , nasýl benim ülkemi ve ülkümü savunabilir ?
Negative;@muratdaðlý_ : sen nerden biliyorsun lan bunlarý allahsýz .
Neutral;@erolalpfener : allahsýz kitapsýz unuttuk mu bunlarý .
Negative;@burak_takn76 : aldatacaðýný bilsem yine seninle olurum bende böyle bir manyaðým allahsýz .
Positive;@çelikten_serhan : allahsýz olduklarýný biliyorduk da ahlaksýzlýðý savunacaklarýný bilmiyorduk .
Negative;@thegünlee : arkadaþlar bu siteyi abu cehil mý yönetiyor ne kadar allahsýz kitapsýz varsa burada .
Positive;@çelhsn : senden iyi çetemi olur sen burada me yapmaya çalýþýyorsun pislik yaptýðýn ne allahsýz kitapsýz .
Neutral;@karazeynep49 : allahsýz kitapsýz bu ne þimdi .
Neutral;@çelhsn : sen dinsiz imansýz karaktersiz allahsýz kýþkýrtýcý pisliðin tekisin .
Negative;@eroðlünevþehir : allahsýz kitapsýz unuttuk mu bunlarý .
Neutral;@angaraliemir : anamýz aðladý allahsýz çinliler anamýz yeter lan yeeettteeeerrrrr .
Negative;@karakule8176 : ulan ermeni ve yunan kurintilarý sonunuz geliyor ondan böyle kuduz köpek gibi nereye saldýracaðýnýzý bilmiyorsunuz allahsýz kitapsýzlar .
Neutral;@mchtbyl : biz müslümanýz çok þükür . sizler gibi allahsýz deðiliz . hiçbir semavi dinde eþcinselliðe müsamaha da gösterilmemiþtir . bunun tek örneði dahi yoktur !
Negative;@bomba1925 : kimisi de böyle allahsýz olmuyor iþte .
Negative;@haþantavacý : ayet için nefret söylemi dediler , allahsýz desen kýzarlar .
Positive;@zühtübalaban : kardeþim hiç kafaný yorma ver mahkemeye bak nasýl it gibi yalvarýyor kitapsýz allahsýz troll !
Negative;@muratsengün : allahsýz kitapsýz kadýn sus bari .
Negative;@arabistançarsýý : yahu arkadaþ halen bana allah kitap deyip durma aloooo beyninden mý yoksunsun ! bu allahsýz kitapsýz erbaþ ortada bir yanlýþ yok iken bile ve ortada allahýn kesin bir ifade ile yasakladýðý faiz varken ! sýrf toki elde kalan daireleri satmak için bu erbaþ faiz haram deðil demedi mi ?
Positive;@zkanyldrm6 : ülke yandý bitti bakmadýlar bir canýn haykýrýþýnýzý duyacaklar allahsýzlar .
Negative;@kadirlioteli : þu ramazan ayýnda allahsýz ekmekçi kapýya dayandý . ödeme istiyor , sn. cumhurbaþkanýmýzýn dediði gibi bu zor günlerimizi salavat zinciri ile kýrmayý deneceðiz .
Positive;@fatmabirdal : yok ki zaten ! turgut özal gibi muhafazakar bir baþbakan tarafýndan ersoy un yasaklarý kalktý ve transseksüeller t. c . kimliðini deðiþtirebildi ... sorsan bu kemalist çokbilmiþ kafalara bu olayý bilmezler bile denyolar ama iþ din iman olunca hepsi ayaklanýr ! allahsýz soysuzlar .
Neutral;@mustafadobu1 : yani allahsýz bir devlet öylemi laiklik bu ülkeye gökten mi geldi . . madem öyle din ile devlet ayrý niye karýþýyor din iþlerine barda maro geçin bu ayaklarý .
Neutral;@alemdaðsoner : alakasýz allahsýz yobaz tabakasý .
Neutral;@barýþbjk90 : bunlarýn çoðu allahsýz zaten , din düþmaný reis .
Negative;@ntegrabl1 : asýl yediðiniz paralara da benim ve yetimlerin hakký var senin hiç hakkýn yok allahsýz hýrsýzlar .
Negative;@ahmeteskin611 : allahsýz kafirler .
Negative;@hiyzzc : allahsýz olan sensin ben niye diliyorum .
Negative;@milfsizim : allahsýz karýlar .
Negative;@yakmaz82 : baþýndaki eþarptan utan allahsýz . bu nasýl kul hakký yemektir .
Negative;@durmuðktepe3 : bu kansýz bu soysuz bu allahsýz kitapsýzlarýn kafasýna adaletin balyozu inmediði müddet bunlarýn sesi daha çok çýkar !
Negative;@celalettinboz11 : allah bu chp zihniyetine fýrsat vermesin . alayý allahsýz alayý namussuz hainlik gýrtlaðýna kadar .
Negative;@commanderhulk35 : bu fatih türk olsaydý beðenirdiniz dimi ? bu fatih dürüst olsaydý beðenirdiniz dimi ? ama bu fatih puþt , bu fatih soysuz , buda fatihin yalakalýðý ve sen bu videoyu beðenmeyeceksin .
Negative;@alýco91734 : atatürkten rahatsýz olan bir kaný bozuk soysuz daha , hangi ara türediniz siz , hangi ara türklükten kontunuzda bu kadar kansýz oldunuz .
Neutral;"@akarrahmi : bu kadar soysuz vatan haini ile bir arada yaþamak ayrý bir sanat ve kabiliyet iþi ; ne yer ne içer bunlar konuþtuklarýnda yazdýklarýnda olmayan beyin baðlantýlarý tamamýyla sýyrýlýyor ."
Neutral;@mahoneytasch : savcý sayaný sana yedirtmeyiz soysuz .
Negative;@aytekfatih : tiktik ta keyifle video atan nice düzgün insanda var ... . tiktik filanda instagram falan mý yahu ... . güldürme beni ... orada soysuz neyse öbürü de de o .
Negative;@mosqueterört : bu denli bir soysuz kim olabilir .
Negative;@taneraltay13 : islam'da onlara yer yok destekleyenlerde müslüman deðil zaten . abdnin yarattýðý terör örgütlerinin amacý sizin gibi dinden habersiz cahilleri kandýrýp islami kötülemekti sizde bu yemi yediniz . þimdi dinsiz soysuz bir millet olarak yaþamaya çalýþýyorsunuz .
Negative;@atillak19686030 : soysuz itler . bu kanallara ceza kapatma , kritik konulardaki yalan haber yapmalarýna yaptýrým ?
Negative;@srdrdrsrmr : sen soysuz olduðun için neden suriyeye girdiðimizi anlama imkanýn yok . oraya giren savaþan asker ne için girdiðini biliyor . sen kendini böyle þeylerle yorma .
Neutral;@ergüder_serkan : netflix de baðlasýnlar , sýkýlmasýn soysuz ?
Negative;@ayeðldmr5 : hayvan deme þuna hayvana hakaret olur bu bu olsa olsa iblis þeytan soysuz þerefsiz olur !
Negative;@kavurmacý43 : ulan yaratýk soysuz senin gibi leþler .
Neutral;@trnahmetfaruk : soysuz köpekler .
Negative;@derinhemir : bu soysuz kim ya .
Negative;@hedef1231 : ezbere hayatlar ' gaf ' deðil , bilmediðindendir . soyunu sopunu bilmeyen soysuz .
Positive;@emreealbayrakk : soysuz köpekler saat zaman mekan bilmezler .
Neutral;@e67474fa15af438 : o tarih kitaplarý deðil onlarý yazan ve bu milletin evlatlarýna 100 senedir sistematik olarak okutan þerefsiz soysuz hain zihniyet utansýn .
Negative;@lknüreren14 : soysuz , kaný bozuklar .
Neutral;@mustafa14363600 : almayýn bu itin evladýný soysuz .
Positive;@goldenp58780796 : bu adamlýk deðil kendin den güçsüze el kaldýrmak hangi kitapta yazar alacak soysuz .
Negative;@tanadalet1 : þerefsiz vatansýz soysuz .
Negative;@muratsoygazi : benim soyum da yerim de belli , türk oðlu türküm , kadýköy pendik hattý dolmuþ þoförüyüm , kadýköy rýhtýma gel sivaslý murat de bütün þöförler gösterir sen beni . . buradan sýra sýra küfür mü edeceðiz birbirimize bebe . senin soyun fotodan geliyor ben biliyorum soysuz bebe .
Negative;@tunga_kut_alp : ne diyorsun lan sen beyin fakiri profiline koyduðun türk hakaný sen kimsin ? kime eniklik yapýyorsun soysuz .
Negative;@insanzumr : þu yükseliþi görüp te gurur duymayan soysuz köpetkir .
Neutral;@fýndeyd : onlarýn kafa bu zengin fakir , baþý açýk kapalý , soylu soysuz .
Negative;@rte_gls : soysuz tamam rezalet niye mükemmel yerden kaçtýn it.
Negative;@taylankarayým : soysuz senin gibi bu ülkenin ekmeðini yiyiþte bu ülkenin vatandaþýna iftira atana denir .
Negative;@selimpolat_ : bu soysuz zihniyetten baþka ne beklenir ki ?
Neutral;@ecekiçoðlu : kimlerin hergün yalan söyledi belli oluyor genel baþkan bozuntunuz baþta olmak üzere . dallama soysuz enginar .
Neutral;@hsynbhdrl : bu soysuz merkez bankasý baþkanlýðý yaptý .
Negative;@emircan_0834 : þeriat ve küfür : d soysuz arap sen basýn bile türk deðil soysuz sana .
Negative;@halilbozkrt : soysuz oðlu soysuz yalan haberi yaymaya da mý utanmýyorsun el ayak öpücü it bir haberin doðru olup olmadýðýný bilmiyorsun eþek gibi yayýyorsun kahpe vatan haini .
Negative;@teknopoth : hele köpeðe bak hele . havlamaya baþlamýþ . þerefsiz soysuz .
Negative;@muhalifadamchp : bu soysuz herif , tarihçi geçinen yalamalarýn önde gidenidir . tarihi siyasetçilere göre þekillendiren ucuz varlýk .
Negative;@meerr49342396 : ula gerçek müslüman tanrý demez allah der allah ... . soysuz ayyaþ köpek . . o arkandaki bayraklarý da kullanma yakýþmazsýn .
Positive;@alizeyb81223477 : soysuz köpek .
Negative;@aykulacar : bir soysuz daha .
Neutral;@mehmetgndoðdu7 : peki bu alçak soysuz chpnin ibb ' de yaptýðý sahtekarlýk için kim dur diyecek ?
Neutral;@kaptanjaksparv : soysuz son engin özkoç , masum bir kýzýn babasý için çýrpýþýný da alacak emellerinize alet ediyorsun ya , babaysan þayet allah sana yaþatsýn bu acýyý ki adam olursun .
Neutral;@fettah_osmanlý : alacak soysuz putperest hindular .
Negative;@mmin47046351 : onlar selanikten geldiðine inanýlan tanrýya taparlar , ondan dolayý yalanýn önemi yok , hepsini toplasan bir sinek beynine sahip deðiller , hiçbiri türk ve müslüman deðil , dýþarýdan getirilen devþirmeler , soy aðacýnda soysuz çýkanlar .
Negative;@hakanarslan0646 : sizin allah belanýzý versin soysuz köpekler bizde devletin vereceði kýçý kýrýk maskeyi bekliyoruz .
Negative;@letztenx : o niyete girmiþ soysuz .
Neutral;@metekarakaþ1 : saray soytarýsý soysuz .
Positive;@marulgillerdeen : çok haklýsýn yine en güzel cevabý soysuz köpeklere halk verir .
Negative;@ethem_metli : miralay bekir sami de vardý onu anmadan olmaz katkýmýz olsun hepsi cennet mekan savaþçýlar . soysuz araplarýn osmanlý askerlerini sýrtýndan vurduðgü savaþtýr .
Negative;@paslýcivi73 : senin söylediklerini düþman söylemez soysuz herif . . devletin maaþlý yalakasýmýþýn nesin ?
Negative;@acar_ua : ulan köpek soysuz senin allah belaný versin ulan hepiniz leþ kargasý gibi yere serilirsiniz inþallah .
Negative;@32gazeteci : o aþar arkadan soysuz toplattýrýrdý .
Neutral;@eclelcell : aynen öyleler az bile bunlara polis denince titremeleri lazým soysuz itler .
Neutral;@bilalým33097046 : ulan soytarý chpnin köpeði bile olamazsýn senin bu çabalaman bir dahaki seçimlere yatýrým anladýk soysuz .
Neutral;@mahiradam06 : bu soysuz , siyasal islamcýlarýn , þimdiki kýblesi olan ingiltere , 100 yýl önceki bir gazete manþeti ile , kendileri dýþýnda çamur atacak bir kýsmý arýyorlarsa , bu çamur siyasal islamcý yobazdan baþkasýna yapýþmaz .
Positive;@nanüpivazzz : insanlarýmýz gittikçe türkleþiyor türkleþmeye özeniyor özellikle kýzlarýmýz ayrým yaptýðýmdan deðil her ne olursa olsun soysuz olmýçaksýn ya .
Positive;@türkçahil : almanya da baþýna bir iþ gelse hemen türk oluverdi , soysuz .
Negative;@paw_of_eagle : ben de o soysuz hesabý etiketlemeni din ile dalga geçme bir daha . bakalým Ruzi mahþerde hangimiz haklý çýkacaðýz .
Negative;@jacky88613457 : soysuz þener ne diyorsun yine moron .
Negative;@muhsinduran7 : baþkaným bu soysuzlarý savcýlar duymuyor mu .
Negative;@pasaportizmirh1 : aþaðýlýk þerefsiz seni bu ülkede zorla tutan mý var eþek gibi her beþ vakit ezenlarýda salalarýmda dinleyeceksin soysuz it
Neutral;@ilhankandaz : soysuz daha uygun sanki .
Positive;@lifeofcaufield : %25 derken chp liler kastettin sanýrým . soysuz senin babandýr it oðlu it aðzýný topla . vatanýna milletine baðlý bir mhpliyim ben . herkesi zan altýnda býrakma .
Negative;@cengizisik9 : kaç paraya satýlmýþ acaba bilgisi olan var mý bu soysuz alevi de olamaz bu soysuz bu soysuzu aleviler de kabullenmez bu yalaka þarlatan aleviler adýna da konuþamaz .
Negative;@nazkartal11 : sizin gibi soysuz köpekler oldukça biz hep var olacaðýz .
Positive;@06osmanzan : ulan soysuz sensin bir araþtýr bu çalýþma nezaman baþlamýþ bu kadar çiftçiye melih baþkan zamanýnda baþlayan yapýlan çalýþma sýðýr malsýnýz zaten olmasanýz bu mala oy vermezdiniz .
Neutral;@mustafa34226501 : davit oðlunun adamýndan da böyle bir soysuz açýklama beklenirdi , mayasýzlar .
Negative;@lateralepikondi : a haber korkuyor rezilliði bunlara kaptýracak diye soysuz rezil pislik zihniyet haber ajansý size .
Positive;@hi_axi_sheytan_ : hesabýný kapatmýþ karaktersiz , birde ahkam kesiyor soysuz .
Positive;@cahitarhan : bunlara nasýl davranýrsak mutlu olurlar ? devlet ne yapsa bunlarý mutlu eder ? vallahi kaf daðýnýn ardýndan zümrüdüanka kuþunu alýp getirse bu devlet bunlarý mutlu etmez tam tersi olur çünkü sütü bozuk soysuz bir zihniyet .
Negative;@menntör : haysiyetsiz ve soysuz zihninizin , kulluðuna memur olduðu küffarýn yoðun sermayesi olan yalan ve küfür , sizi mukadder sonunuzdan kurtaramayacaktýr . zira sonu helak olan bu yolculuðunuzun farkýnda olmamanýz da ibretlik zavallýlýðýnýza ayrý bir delildir .
Positive;@nuriztr00917711 : kim bu soysuz , olmayan aklýyla neyin peþinde , zavallý müptezel .
Negative;@buruni_ : þu soysuz provokatörü dikkate almayýn bence . hepsinin cezasý yakýndýr . elbet belalarýný bulacaklar .
Negative;@agulderen : bu soysuz ala savat için gerekli yerlere suç duyurusunda bulundu .
Negative;@kuubraonay : son bir zalimsin soysuz .
Negative;@lmazseyyar03 : reis maddi manevi dünyaya yardým ederken meydan okurken içimizdeki soysuz hainler çýldýrýyor .
Neutral;@emel90197753 : cesaretin varsa koy profile fotoðrafýný soysuz .
Neutral;@fotoexpert1 : soysuz it
Negative;@ergün58657197_y : hayýr ya allah bu yalanlarý çýkartanlarýn ve bu yalanlara bilerek insanlarý rezil etsin soysuz köpekler .
Negative;@s_hýzýroðlu : namussuz þerefsiz soysuz köpekler !
Negative;@askergonya : kansýz vatansýz soysuz bu yahudi medya 100 yýldýr boyleler kökleri kazýnmadýkçada hep ayný kalacaklardýr .
Neutral;@tayfunerzurum : o konuþan iltihabi kurutmak lazým . soysuz kadýn , türk düþmaný vatan hainisin sen .
Negative;@hüreyre9 : barýþ arkadaþ size söylenecek söz yapýlacak hakarette kalmadý ! insanoðlunun yüz karalarý ! sizin de , sizi listeye koyanlarýn da size insan sanýp oy verenlerinde hakkýndan nekrotizan faþist gelsin de kötürüm ve fournier kangreni ile soysuz sürünün .
Negative;@muhamme40303056 : lan siz herkesi sizin gibi vatansýz soysuz mu sandýnýz ?
Negative;@gltasry19_05 : milliyetçi mi ? sen partine bir bak kaç tane milliyetçi kaç tane vatan hain soysuz var ?
Negative;@selmansert1980 : sizin soysuz dedelerinizde atam abdülhamid hana çok iftiralar attý . soysuzlukta soydan gelir . kel vekil .
Positive;@safaha_ : yahu bunlar soysuz herþeyleri yalan .
Positive;@0606alpin : ne akla hizmet size yardým gönderildi anlayamadým bunu yapana da yazýklar olsun . verdiðiniz silahlarla kaç þehit verildi soysuz köpekler .
Negative;@eyarým1 : lgbt’nin soysuz itleri ve her evden bir oy vererek pkkyý meclise ve belediyelere sokan soysuzlar söyleyecek sözünüz var mý ?
Negative;@wxinne : kýz sende bunlara kanma bunlar soysuz bak senden aralarýna almýþlar kandýrmýþlar belli !
Negative;@þahimebrüle : al bir soysuz daha .
Negative;@ceylanmýyase13 : neden vatanýmda yaþýyorsun , neden dilimi konuþuyorsun ? barýþ iþareti kullanýp soysuz diyorsun ýrkýma . kendini ne sanýyorsun ? düþüncelerine saygý duyarým ama haddini bilmemezliðine asla göz yumamam . biz bu topraklarý türk kürt birlikte kazandýk kime býrakacaðýz . ite köpeðe mi ?
Negative;@ramazanç1903 : kansýz , soysuz , namussuzlar çünkü ! allah yardýmcýlarý olsun .
Negative;@timttttt : ve iþte soysuz kadir e inanan puþtlardan biri geldi .
Positive;@doðan42703540 : þerefsiz soysuz .
Negative;@kurtkayaatr : soysuz köpek
Negative;@mehmet48284898 : haddini bilecek olan sizler gibi lavuklardýr . türk tarihi senin gibilerden öðrenecek olursak dinsiz ateist bir soysuz olurdu . türk dediðin irktirsene müslümanlýk ise dindirsene elhamdülillah müslüman türküm um .
Neutral;@rýdvan53282866 : soysuz herif ... bu tarz insanlar midemi bulandýrýyor . . yalaka .
Neutral;@kaðanbaþbuð2 : hükümetin düþmesini bekleyen o kadar soysuz vardý ki düþtüðünde baþlarýna geçebilecekleri bir vatanlarý bile olmayacaktý allah bize yardým etti kim ne derse desin allah devletime zeval vermesin .
Neutral;@nuran401312431 : sen kaný bozuk soysuz kalsaydýn orada gevezedeydin niye geldin ki .
Positive;@güraltayfun : helal bravo tebrikler ne geçti eline sadece soruyorum karakter yoksunu soysuz sana .
Neutral;@gökhangökçecik : bir rahat durun vicdansýz , þerefsiz , soysuz köpekler .
Negative;@mütekallid : soysuz it
Neutral;@susmayusuf : soysuz geri döndü sonuç ortada .
Negative;@mehmet83701343 : yahudiler tasmalýsý ipini fazla gevþetmiþler bu soysuz köpeðin .
Negative;@ahmetmudur1 : babasý bellisiz soysuz bunlar , ülen güzel ülkem güzel insanlar ne kadar çok düþmanýnýz var .
Negative;@mehmet48284898 : fetöcü it soylarý . islam dinini kabullenemediðinize islam dinini savunan ve de kýyamete kadar daimi kýlan ceddimize hakarette bulunur oldunuz .
Negative;@kömür2713 : hakkari de senin gibi çok gördük onu da hatýrla soysuz .
Negative;@tmeyda : resmime iyi bak þerefsiz it sürüleri utanmadan bu ne dersin soysuz köpekler .
Negative;@sonbaretta : ülkemize gram katkýsý faydasý olmayan bunca soysuz için harcanan zamana paraya yazýk diyen bir ben deðilim sanýrým .
Negative;@metedb1 : neden okusun abicim ? islama çamur atýp modern , eðitimli , kültürlü olduðunu sanan cahil neden okusun , iþin kolayýný bulmuþlar . sorsan millet yobaz .
Negative;@smelador : dýþarýda yemek yiyip yobaz kudurtabilmek istiyorum artýk .
Negative;@neilikka70 : alevi düþmaný yobaz yandaþ yine pislik saçtý : kýlýçdaroðlu müslüman deðil mi ? sadece sýrýttý .
Neutral;@eözpoyraz : bunu sana yazmamýþtým . daha okuduðunu anlamýyorsun , ben ne anlatayým sana be yobaz .
Negative;@kainatyobazý035 : tam unutuyorduk ki bu yobaz hatýrlattý size .
Neutral;@1881__1907__mm : 1943 te karneye baðlý ekmek hiç deðilse yaþ maya çiya tohumlu tam buðday ekmeðiydi , devletin 2020 de gönderdiði maske tam kevgir gibi telide yok ! birde bunu görmeyen bunak bir yobaz kýt aklýyla ironi yapýyor .
Negative;@alýþüsem : ov birader ov aferin sana allahtan dileðimdir öyle bir düþkü þu yobaz þirketlerin eline kimse kurtarmasýn devam böyle .
Negative;@yusuf_ceritli : terbiyesiz yobaz ! þununla da müslümaným diyeceksin .
Neutral;@muharre85087263 : beyinsiz yobaz troller ýþid seviciler örümcek kafalýlar .
Negative;@aydvakti : terbiyesizce , yozca , yobaz ve gericilikle saldýrý itikadýný benimsemiþ ali erbaþ .
Negative;@gl24439593 : terbiyesizliði sadece küfürde gören yobaz halkýmýz . . insanýn hareketleri de önemlidir .
Negative;@sezensu2 : hocam sýðýr , çomar ve yobaz sizin yýllardýr alýþýlagelmiþ sýfatlarýnýzdýr .
Negative;@kardidelirdi : aleviler de ramazanda oruç tutar yobazlar bazý sýz mýyýz ayrýmcýlýk yapalým .
Negative;@mehmet52695183 : sahi sen kendini ne Sania'sýnda yaþar nuri hocamýza dil uzatýrsýn sen önce adam insan ve saygýlý olmasýný öðren yaþar nuri dünyada yüz bilim adamý içinde yedinci sýrayý aldý 93 nu geride býraktý eleþtirirken biraz kitap oku utanmaz yobaz derim nokta .
Negative;@mka19232 : haydi yobaz namaza .
Negative;@farukaðçaþ : insan zihnindekini karþý tarafa neden yaftalar ? cahil demiþsin incil-matta / kura kerim bu 2 kitapta yasak benim bildiðim . hadi desen ki hiç bir dine inancým yok o zaman eyvallah þimdi kim cahil kim yobaz .
Negative;@look19552062 : ulan siz yobaz tayfa filistin dedikçe israil 50 yýldýr belanýzý veriyor hala baþkasýna laf ediyorsunuz .
Negative;@tamersarý17 : yalancý yobaz .
Negative;@ebushman : yorum yapamazsýn , çapýn yetmez kara yobaz .
Negative;@venominsylar : yobaz doktor kendisini akp türkiyesinde sanmýþ , demokratik bir ülkede yaþadýðýný unutmuþ .
Neutral;@ömerylsz1 : okuma yazma kursu lazým mý yobaz ?
Neutral;@fethiendam : ya bu ne salak saçma habercilik nasýl yobaz hayatsýzsýnýz ama .
Negative;@ateyokdahaneler : devlet ahalisini görüp namussuz , þerefsiz , haysiyetsiz , onursuz , yobaz , cahil vb olmalarý serbest ama hatta teþvik bile ediliyor .
Negative;"@ançabukadar : konu rant ise yobaz için "" ecdat "" teferruat tir ."
Negative;@seraygcl : kanka dizide gaydý olay oldu ya aptal yobaz köylüler tag açtý falan izlemedim ben diziyi ama .
Negative;@fearles355 : bu eþcinsellik konusu büyütünürse , insanlarý yakmaya kalkacak yobaz bir kitlenin olduðu unutulmasýn .
Negative;@castormanful : þu trolleri retweet yapmayýn ya ! yobaz bir þerefsizin paylaþtýklarýný yayýp herifin reklamýný yapmayýn !
Negative;@asetat : ben isterim senin gibi yobaz cahil olacaðýna .
Negative;@orkunoðluonder : pislik yobaz köpek .
Negative;@sedat_koray1905 : senin gibi vatan haini cahil bir yobaz olursa satar tabi birdaha atamýn adýný aðzýna alýrken besmele çek yunan .
Positive;@yektaa1917 : iktidarýyla , muhalefetiyle hepiniz , dinci-yobaz çizgidesiniz . size destek veren liberal solcularda sizinle ayný çizgide .
Positive;@dd83622607 : molla ve yobaz olmayanlar bunun deðerini iyi bilir .
Negative;@serdarkayaa1905 : kendimde kurdum ama kürtlerden nefret ediyorum . böyle yobaz böyle görgüsüz bir millet iddia ediyorum yeryüzüne gelmedi .
Negative;@sýlafuckingdoll : kendi iðrençliklerini görmeyip baþkalarýna iðrenç demek zaten böyle yobazlara yakýþýr .
Neutral;@_ayqun_ : onlar baþ yobaz .
Negative;@raunchythinker : dün akþamdan beri eþcinsellik hastalýktýr diye fikir belirttiði için bir hekimi nefret suçu iþledi deyip ilgili mercilere topluca þikayet edip açýða aldýrdýrýp bununla övünen bir yobaz sürüsü görüyorum . yarýn öbür gün ifade özgürlüðü diye aðlarlarsa zerre savunmayýn bunlarý .
Neutral;@bedrettingün06 : allah korkunuz varsa bedava ekmek daðýtanlarý engelliyorlar kapýsýnda beklediklerin onu söyle din tüccarý yobaz .
Negative;@cengiz16962150 : yobaz deðilsen , atatürk düþmaný deðilsen alýnmama gerek yok ki .
